epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5490.2,0.82176,1.02026,1.05206,0.95905,0.93112,0.97287,0.81456,0.62107,0.57706,0.93262,0.000665778,0.000665778,0.000665778
2,10955.2,0.85088,0.71369,1.07412,0.92467,0.88852,0.94864,0.76006,0.73556,0.61066,1.01206,0.00130606,0.00130606,0.00130606
3,16624.1,0.82979,0.67827,1.07112,0.95959,0.93689,0.97329,0.82037,0.61712,0.48146,0.93921,0.00191995,0.00191995,0.00191995
4,22141.6,0.79594,0.62534,1.05837,0.95652,0.93662,0.97674,0.84577,0.55703,0.44432,0.93126,0.0018812,0.0018812,0.0018812
5,27663.9,0.76264,0.59033,1.04152,0.97247,0.94198,0.98117,0.85455,0.55718,0.41383,0.91922,0.0018416,0.0018416,0.0018416
6,33177.8,0.74125,0.55618,1.03213,0.97944,0.95163,0.98712,0.87934,0.50453,0.36663,0.90057,0.001802,0.001802,0.001802
7,38697.5,0.72035,0.53153,1.02422,0.97899,0.95445,0.98788,0.87099,0.51847,0.36411,0.90713,0.0017624,0.0017624,0.0017624
8,44197.9,0.70062,0.5102,1.01153,0.98208,0.96248,0.98906,0.89895,0.4477,0.33061,0.87905,0.0017228,0.0017228,0.0017228
9,49701.8,0.68388,0.49582,1.00236,0.98055,0.96015,0.98891,0.88149,0.49453,0.35036,0.88967,0.0016832,0.0016832,0.0016832
10,55200.4,0.675,0.48408,0.99752,0.98584,0.9629,0.98987,0.886,0.49299,0.32902,0.88777,0.0016436,0.0016436,0.0016436
11,60680.8,0.66627,0.47476,0.99406,0.98523,0.96145,0.99059,0.87841,0.50421,0.33511,0.8828,0.001604,0.001604,0.001604
12,66179.1,0.65662,0.46621,0.99043,0.98766,0.96422,0.99108,0.89627,0.46649,0.30682,0.87143,0.0015644,0.0015644,0.0015644
